"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.34418e+003,-1.02000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,6.50000e+001,6.50000e+001
-8.33023e+003,-1.02183e+002,4.96636e-001,1.11935e+000,9.10159e-001,8.30580e-001,9.70824e-001,1,4.00000e+000,-1.99600e+003,6.50000e+001,6.50000e+001
-8.31629e+003,-1.02365e+002,9.93273e-001,2.23870e+000,1.81032e+000,1.65116e+000,9.41649e-001,1,8.00000e+000,-1.99200e+003,6.50000e+001,6.50000e+001
-8.30234e+003,-1.02548e+002,1.48991e+000,3.35805e+000,2.71048e+000,2.47174e+000,9.12473e-001,1,1.20000e+001,-1.98800e+003,6.50000e+001,6.50000e+001
-8.28840e+003,-1.02730e+002,1.98655e+000,4.47739e+000,3.61064e+000,3.29232e+000,8.83298e-001,1,1.60000e+001,-1.98400e+003,6.50000e+001,6.50000e+001
-8.27446e+003,-1.02913e+002,2.48318e+000,5.59674e+000,4.51080e+000,4.11290e+000,8.54122e-001,1,2.00000e+001,-1.98000e+003,6.50000e+001,6.50000e+001
-8.26051e+003,-1.03096e+002,2.97982e+000,6.71609e+000,5.41095e+000,4.93348e+000,8.24947e-001,1,2.40000e+001,-1.97600e+003,6.50000e+001,6.50000e+001
-8.24657e+003,-1.03278e+002,3.47645e+000,7.83544e+000,6.31111e+000,5.75406e+000,7.95771e-001,1,2.80000e+001,-1.97200e+003,6.50000e+001,6.50000e+001
-8.23262e+003,-1.03461e+002,3.97309e+000,8.95479e+000,7.21127e+000,6.57464e+000,7.66596e-001,1,3.20000e+001,-1.96800e+003,6.50000e+001,6.50000e+001
-8.21868e+003,-1.03643e+002,4.46973e+000,1.00741e+001,8.11143e+000,7.39522e+000,7.37420e-001,1,3.60000e+001,-1.96400e+003,6.50000e+001,6.50000e+001
-8.20473e+003,-1.03826e+002,4.96636e+000,1.11935e+001,9.01159e+000,8.21580e+000,7.08245e-001,1,4.00000e+001,-1.96000e+003,6.50000e+001,6.50000e+001
-8.19079e+003,-1.04008e+002,5.46300e+000,1.23128e+001,9.91175e+000,9.03638e+000,6.79069e-001,1,4.40000e+001,-1.95600e+003,6.50000e+001,6.50000e+001
-8.17684e+003,-1.04191e+002,5.95964e+000,1.34322e+001,1.08119e+001,9.85696e+000,6.49894e-001,1,4.80000e+001,-1.95200e+003,6.50000e+001,6.50000e+001
-8.16118e+003,-1.04355e+002,6.47465e+000,1.45626e+001,1.15386e+001,1.06306e+001,6.20611e-001,1,5.20000e+001,-1.94800e+003,6.50000e+001,6.50000e+001
-8.14380e+003,-1.04500e+002,7.00804e+000,1.57041e+001,1.20917e+001,1.13572e+001,5.91222e-001,1,5.60000e+001,-1.94400e+003,6.50000e+001,6.50000e+001
-8.12641e+003,-1.04644e+002,7.54143e+000,1.68455e+001,1.26449e+001,1.20839e+001,5.61832e-001,1,6.00000e+001,-1.94000e+003,6.50000e+001,6.50000e+001
