"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.10214e+003,0.00000e+000,0.00000e+000,0.00000e+000,1.06311e-001,9.66784e-002,5.94252e-002,1,0.00000e+000,8.50000e+002,6.50000e+001,-1.00000e+003
-8.10290e+003,-4.57248e+000,-3.44866e-002,-1.60865e-001,1.06581e-001,9.44822e-002,8.97538e-002,1,2.00000e+000,8.50000e+002,6.50000e+001,-9.98000e+002
-8.10366e+003,-9.14496e+000,-6.89732e-002,-3.21730e-001,1.06851e-001,9.22860e-002,1.20082e-001,1,4.00000e+000,8.50000e+002,6.50000e+001,-9.96000e+002
-8.10442e+003,-1.37174e+001,-1.03460e-001,-4.82595e-001,1.07121e-001,9.00898e-002,1.50411e-001,1,6.00000e+000,8.50000e+002,6.50000e+001,-9.94000e+002
-8.10517e+003,-1.82899e+001,-1.37946e-001,-6.43459e-001,1.07390e-001,8.78936e-002,1.80740e-001,1,8.00000e+000,8.50000e+002,6.50000e+001,-9.92000e+002
-8.10593e+003,-2.28624e+001,-1.72433e-001,-8.04324e-001,1.07660e-001,8.56974e-002,2.11068e-001,1,1.00000e+001,8.50000e+002,6.50000e+001,-9.90000e+002
-8.10669e+003,-2.74349e+001,-2.06920e-001,-9.65189e-001,1.07930e-001,8.35012e-002,2.41397e-001,1,1.20000e+001,8.50000e+002,6.50000e+001,-9.88000e+002
-8.10749e+003,-3.19686e+001,-2.65881e-001,-1.12689e+000,1.08086e-001,8.12166e-002,2.71891e-001,1,1.40000e+001,8.50000e+002,6.50000e+001,-9.86000e+002
-8.10829e+003,-3.64895e+001,-3.33001e-001,-1.28886e+000,1.08203e-001,7.89027e-002,3.02439e-001,1,1.60000e+001,8.50000e+002,6.50000e+001,-9.84000e+002
-8.10910e+003,-4.10104e+001,-4.00121e-001,-1.45084e+000,1.08321e-001,7.65887e-002,3.32988e-001,1,1.80000e+001,8.50000e+002,6.50000e+001,-9.82000e+002
-8.10991e+003,-4.55312e+001,-4.67241e-001,-1.61282e+000,1.08438e-001,7.42748e-002,3.63536e-001,1,2.00000e+001,8.50000e+002,6.50000e+001,-9.80000e+002
-8.11071e+003,-5.00521e+001,-5.34361e-001,-1.77479e+000,1.08556e-001,7.19608e-002,3.94085e-001,1,2.20000e+001,8.50000e+002,6.50000e+001,-9.78000e+002
-8.11152e+003,-5.45730e+001,-6.01481e-001,-1.93677e+000,1.08673e-001,6.96468e-002,4.24633e-001,1,2.40000e+001,8.50000e+002,6.50000e+001,-9.76000e+002
-8.11233e+003,-5.90938e+001,-6.68601e-001,-2.09874e+000,1.08791e-001,6.73329e-002,4.55182e-001,1,2.60000e+001,8.50000e+002,6.50000e+001,-9.74000e+002
-8.11313e+003,-6.36147e+001,-7.35720e-001,-2.26072e+000,1.08908e-001,6.50189e-002,4.85730e-001,1,2.80000e+001,8.50000e+002,6.50000e+001,-9.72000e+002
-8.11394e+003,-6.81355e+001,-8.02840e-001,-2.42269e+000,1.09026e-001,6.27049e-002,5.16279e-001,1,3.00000e+001,8.50000e+002,6.50000e+001,-9.70000e+002
-8.11475e+003,-7.26564e+001,-8.69960e-001,-2.58467e+000,1.09143e-001,6.03910e-002,5.46827e-001,1,3.20000e+001,8.50000e+002,6.50000e+001,-9.68000e+002
-8.11556e+003,-7.71773e+001,-9.37080e-001,-2.74665e+000,1.09261e-001,5.80770e-002,5.77376e-001,1,3.40000e+001,8.50000e+002,6.50000e+001,-9.66000e+002
-8.11636e+003,-8.16981e+001,-1.00420e+000,-2.90862e+000,1.09378e-001,5.57631e-002,6.07925e-001,1,3.60000e+001,8.50000e+002,6.50000e+001,-9.64000e+002
-8.11717e+003,-8.62190e+001,-1.07132e+000,-3.07060e+000,1.09496e-001,5.34491e-002,6.38473e-001,1,3.80000e+001,8.50000e+002,6.50000e+001,-9.62000e+002
-8.11798e+003,-9.07399e+001,-1.13844e+000,-3.23257e+000,1.09613e-001,5.11351e-002,6.69022e-001,1,4.00000e+001,8.50000e+002,6.50000e+001,-9.60000e+002
-8.11916e+003,-9.19649e+001,-1.08357e+000,-3.23042e+000,1.08541e-001,5.29529e-002,6.86530e-001,1,4.20000e+001,8.50000e+002,6.50000e+001,-9.58000e+002
-8.12034e+003,-9.31900e+001,-1.02870e+000,-3.22828e+000,1.07468e-001,5.47706e-002,7.04037e-001,1,4.40000e+001,8.50000e+002,6.50000e+001,-9.56000e+002
-8.12152e+003,-9.44151e+001,-9.73824e-001,-3.22613e+000,1.06395e-001,5.65884e-002,7.21545e-001,1,4.60000e+001,8.50000e+002,6.50000e+001,-9.54000e+002
-8.12271e+003,-9.56401e+001,-9.18952e-001,-3.22398e+000,1.05322e-001,5.84062e-002,7.39053e-001,1,4.80000e+001,8.50000e+002,6.50000e+001,-9.52000e+002
-8.12389e+003,-9.68652e+001,-8.64080e-001,-3.22183e+000,1.04249e-001,6.02239e-002,7.56561e-001,1,5.00000e+001,8.50000e+002,6.50000e+001,-9.50000e+002
